Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Strickland,196,90,Jacksonville University,1940,1291,38342,6093,13466,3808,5308,217,774,5876,12692,1332,3306,4638,9002,1831,245,3224,2360,16211
Rodney Buford,196,85,Creighton University,1977,230,4182,630,1530,138,182,74,247,556,1283,117,481,598,179,115,31,140,332,1472
Rodney Carney,201,92,University of Memphis,1984,326,4936,721,1709,246,351,217,629,504,1080,177,459,636,143,171,105,173,453,1905
Rodney Hood,203,93,Duke University,1992,188,5198,835,2012,323,395,337,926,498,1086,63,523,586,392,141,39,235,453,2330
Rodney McCray,201,99,University of Louisville,1961,689,22795,3181,6325,1743,2280,56,215,3125,6110,1472,3165,4637,2574,532,439,1299,1529,8161
Rodney McGruder,193,92,Kansas State University,1991,78,1966,190,460,44,71,73,220,117,240,95,162,257,124,45,18,56,140,497
Rodney Monroe,190,83,North Carolina State University,1968,38,313,53,144,19,23,6,27,47,117,12,21,33,27,12,2,23,19,131
Rodney Rogers,201,106,Wake Forest University,1971,1001,25120,4136,9200,1731,2483,826,2389,3310,6811,1465,3010,4475,1920,975,500,1825,3076,10829
Rodney Stuckey,196,95,Eastern Washington University,1986,651,17890,2904,6870,2101,2551,276,921,2628,5949,419,1493,1912,2333,568,94,1181,1346,8185
Rodney White,203,95,University of South Alabama,1959,276,4031,738,1744,242,331,115,350,623,1394,137,437,574,281,150,76,322,373,1833
Rodrick Rhodes,198,102,University of Southern California,1973,85,1390,138,412,143,230,4,22,134,390,47,58,105,132,74,14,139,167,423
Rodrigue Beaubois,183,77,NaN,1988,182,2896,502,1143,153,189,129,397,373,746,47,291,338,374,124,52,204,312,1286
Roger Mason,196,90,University of Virginia,1980,544,9475,1228,3031,322,372,607,1588,621,1443,79,849,928,703,200,81,390,745,3385
Roger Powell,198,106,University of Illinois at Urbana-Champaign,1983,3,13,0,3,2,2,0,1,0,2,3,0,3,0,0,0,3,2,2
Roko Ukic,196,83,NaN,1984,85,987,137,354,53,71,14,74,123,280,27,51,78,165,31,2,66,83,341
Rolando Blackman,198,86,Kansas State University,1959,742,24734,5214,10752,2739,3194,224,637,4990,10115,718,1640,2358,2403,576,178,1429,1269,13391
Rolando Ferreira,216,108,University of Houston,1964,12,34,1,18,7,8,0,0,1,18,4,9,13,1,0,1,6,7,9
Ron Anderson,201,97,"California State University, Fresno",1958,762,17144,3281,6953,1183,1475,114,401,3167,6552,1002,1637,2639,1113,534,99,822,1160,7859
Ron Baker,193,99,Wichita State University,1993,52,857,82,217,28,43,23,86,59,131,12,86,98,107,34,8,56,74,215
Ron Brewer,193,81,University of Arkansas,1955,128,1792,296,684,114,126,10,38,286,646,46,102,148,114,46,24,64,134,716
Ron Cavenall,216,104,Texas Southern University,1959,58,669,30,89,24,44,0,0,30,89,53,115,168,19,12,44,47,125,84
Ron Crevier,213,106,Boston College,1958,6,8,0,6,0,4,0,0,0,6,2,0,2,0,0,0,0,4,0
Ron Grandison,198,97,University of New Orleans,1964,133,1183,106,266,99,140,8,38,98,228,93,125,218,71,43,8,63,139,319
Ron Harper,198,83,Miami University,1964,1044,32566,5627,12583,2917,4030,537,1862,5090,10721,1396,3119,4515,4098,1797,770,2351,2429,14708
Ron Mercer,201,95,University of Kentucky,1976,553,17511,3261,7667,1160,1443,93,350,3168,7317,497,1273,1770,1207,563,149,922,1140,7775
Ron Moore,213,117,West Virginia State University,1962,28,118,18,58,12,16,0,0,18,58,4,12,16,2,10,0,8,42,48
Ron Rowan,196,90,St. John's University,1962,7,16,4,9,3,4,1,1,3,8,1,0,1,1,4,0,3,1,12
Ronald Dupree,201,94,Louisiana State University,1981,162,1779,219,513,116,206,5,13,214,500,117,230,347,101,58,29,90,252,559
Ronald Murray,193,86,Shaw University,1979,694,15798,2560,6209,1263,1752,454,1509,2106,4700,276,1153,1429,1577,560,131,1060,1104,6837
Rondae Hollis-Jefferson,201,99,University of Arizona,1995,107,2376,298,680,227,305,19,81,279,599,135,471,606,197,121,60,142,238,842
Ronnie Brewer,193,81,University of Arkansas,1955,644,14294,1836,3811,843,1273,122,470,1714,3341,540,1228,1768,1042,762,142,463,662,4637
Ronnie Lester,188,79,University of Iowa,1959,59,500,60,134,36,50,0,4,60,130,4,32,36,134,24,6,74,52,156
Ronnie Murphy,196,102,Jacksonville University,1964,18,89,14,49,7,11,1,4,13,45,5,6,11,6,5,1,8,14,36
Ronnie Price,188,86,Utah Valley State College,1983,544,7293,738,1980,295,400,244,808,494,1172,176,482,658,960,424,56,476,922,2015
